Time - Force	Amplitude - Force
579,4m	-0,1
580,0m	-0,1
580,6m	-0,1
581,3m	-0,1
581,9m	-0,1
582,5m	-0,1
583,1m	-0,1
583,7m	-0,1
584,3m	-0,1
584,9m	-0,1
585,5m	-0,1
586,1m	-0,1
586,7m	-0,1
587,3m	-0,1
587,9m	-0,1
588,5m	-0,1
589,1m	-0,1
589,7m	-0,1
590,3m	-0,1
590,9m	-0,1
591,5m	-0,1
592,1m	-0,1
592,8m	-0,1
593,4m	-0,1
594,0m	-0,1
594,6m	-0,1
595,2m	-0,1
595,8m	-0,1
596,4m	-0,1
597,0m	-0,1
597,6m	-0,1
598,2m	-0,1
598,8m	-0,1
599,4m	-0,1
600,0m	-0,1
600,6m	-0,1
601,2m	-0,1
601,8m	-0,1
602,4m	-0,1
603,0m	-0,1
603,7m	-0,1
604,3m	-0,1
604,9m	-0,1
605,5m	-0,1
606,1m	-0,1
606,7m	-0,1
607,3m	-0,1
607,9m	-0,1
608,5m	-0,1
609,1m	-0,1
609,7m	-0,1
610,3m	-0,1
610,9m	-0,1
611,5m	-0,1
612,1m	-0,1
612,7m	-0,1
613,3m	-0,1
613,9m	-0,1
614,6m	-0,1
615,2m	-0,1
615,8m	-0,1
616,4m	-0,1
617,0m	-0,1
617,6m	-0,1
618,2m	-0,1
618,8m	-0,1
619,4m	-0,1
620,0m	-0,1
620,6m	-0,1
621,2m	-0,1
621,8m	-0,1
622,4m	-0,1
623,0m	-0,1
623,6m	-0,1
624,2m	-0,1
624,8m	-0,1
625,4m	-0,1
626,1m	-0,1
626,7m	-0,1
627,3m	-0,1
627,9m	-0,1
628,5m	-0,1
629,1m	-0,1
629,7m	-0,1
630,3m	-0,1
630,9m	-0,1
631,5m	-0,1
632,1m	-0,1
632,7m	-0,1
633,3m	-0,1
633,9m	-0,1
634,5m	-0,1
635,1m	-0,1
635,7m	-0,1
636,3m	-0,1
637,0m	-0,1
637,6m	-0,1
638,2m	-0,1
638,8m	-0,1
639,4m	-0,1
640,0m	-0,1
640,6m	-0,1
